Gene Symbol,BXD1,BXD11,BXD12,BXD13,BXD14,BXD15,BXD16,BXD19,BXD2,BXD21,BXD23,BXD24,BXD28,BXD29,BXD31,BXD32,BXD33,BXD34,BXD36,BXD38,BXD39,BXD40,BXD42,BXD43,BXD44,BXD45,BXD48,BXD5,BXD51,BXD6,BXD60,BXD62,BXD69,BXD73,BXD77,BXD8,BXD85,BXD86,BXD9,BXD92
Sult1e1,0.533,0.474,2.921,3.4174999999999995,1.4949999999999999,1.6995,0.29,0.126,-0.06999999999999999,0.8635,0.8069999999999999,4.061,1.6179999999999999,1.647,1.5025,2.4345,5.096,2.714,1.311,3.077,1.238,1.7435,1.9095,2.1495,3.4074999999999998,0.651,0.909,3.3964999999999996,0.9025,0.35550000000000004,1.8010000000000002,2.1465,1.2135,2.8795,-0.001999999999999988,0.406,0.5225,3.4045,4.992,0.08900000000000001
Sult3a1,5.2915,2.073,2.6735,3.078,4.452999999999999,3.2805,5.813,3.0549999999999997,5.422499999999999,4.154,4.1765,0.6325000000000001,3.129,3.9715,2.776,4.5605,6.5440000000000005,3.538,4.034,3.1445,6.944500000000001,5.595,3.8234999999999997,5.247,5.618,4.091,4.285,4.650499999999999,5.8004999999999995,3.7755,5.5815,4.3145,6.4485,3.238,3.269,4.5795,4.711,5.0685,3.745,7.2295
Sult5a1,1.6744999999999999,1.231,0.9705,2.4475,1.4245,0.613,2.8445,1.0385,1.4605,1.9405,1.319,1.8215,1.9515,1.163,0.645,2.4775,2.441,1.6115,2.23,1.0819999999999999,1.5105,1.6175000000000002,1.7145000000000001,1.054,1.6425,2.069,1.532,1.186,1.256,1.4929999999999999,1.1004999999999998,1.9905,1.9794999999999998,1.267,1.658,2.4690000000000003,2.0149999999999997,1.8969999999999998,1.7285,1.1515
Syt10,2.1775,3.13,1.659,2.8595,1.661,1.7389999999999999,1.7894999999999999,1.3419999999999999,1.248,2.955,1.7890000000000001,3.2455,2.3425,1.9749999999999999,2.128,2.866,1.791,1.9569999999999999,1.5655000000000001,2.305,1.8370000000000002,2.1725,2.476,3.3805,1.8605,1.2915,1.781,2.827,2.1175,2.4205,2.2554999999999996,3.7445,1.2435,1.5594999999999999,2.2945,2.5004999999999997,1.0955,1.6515,1.9395,2.05
Tff3,0.7185,1.049,3.654,1.3105,1.743,1.4075,0.19,3.008,2.7295000000000003,1.734,2.998,2.336,0.3215,2.456,0.1855,1.032,-0.11699999999999999,-0.569,2.015,0.2695,0.027499999999999997,0.522,3.0604999999999998,1.1665,0.938,1.509,0.6975,1.4115,2.6809999999999996,0.2075,3.493,-0.095,0.33199999999999996,-0.1625,1.4975,2.702,1.288,-0.4415,0.4135,1.2895
Thrsp,1.7655,0.986,2.2809999999999997,2.505,2.233,1.6815,0.9604999999999999,1.4969999999999999,1.965,1.6145,1.0995,2.557,2.3295,1.0785,2.6025,1.5884999999999998,2.0854999999999997,2.665,2.683,2.7285000000000004,1.1320000000000001,2.5785,1.7189999999999999,2.19,1.99,2.774,2.199,2.8209999999999997,1.709,2.0865,3.0555000000000003,2.9385000000000003,1.6425,2.2445,2.915,1.8279999999999998,1.8845,1.3215,2.718,3.027
Tifa,0.531,1.397,0.4735,0.8105,2.2835,0.4365,0.8414999999999999,0.7745000000000001,0.8330000000000001,0.6375,1.6185,2.246,1.9335,1.1019999999999999,1.155,0.8345,0.9105,0.6055,0.5895,0.302,0.9875,0.8665,1.233,0.883,0.8069999999999999,0.7745,0.6845,1.4740000000000002,0.487,0.8905000000000001,0.733,0.2505,0.988,1.266,1.149,0.1295,1.2265,0.9615,2.859,1.1835
Tm4sf4,2.7195,1.587,1.9144999999999999,2.9859999999999998,2.8845,2.1905,2.6710000000000003,2.815,2.482,2.1325,2.9125,2.812,2.322,2.827,2.668,2.7705,2.8135,2.2809999999999997,1.863,1.6305,2.128,2.8725,1.957,2.6565000000000003,2.258,2.1405,2.882,2.4000000000000004,2.0545,2.891,2.8285,3.0549999999999997,2.9405,2.3165,2.7575000000000003,1.3944999999999999,2.9665,2.2055,2.5335,2.0115
Tm7sf2,2.024,2.492,1.962,2.496,2.3385,2.4795,1.894,1.8835000000000002,2.0934999999999997,2.0685000000000002,1.9675,2.2744999999999997,2.5985,2.144,1.841,2.2199999999999998,2.5885,2.053,2.1165,2.3665000000000003,2.09,2.1814999999999998,2.4465,2.5815,2.544,2.484,2.447,2.8209999999999997,2.452,2.498,2.464,2.6559999999999997,2.378,1.4380000000000002,2.3585000000000003,2.4955,1.466,1.854,2.207,1.9264999999999999
Tmem44,-1.2225,-1.156,-1.3045,-1.1945000000000001,-1.4745,-1.1695000000000002,-1.4455,-1.4135,-1.4315,-1.3625,5.939,-1.4344999999999999,-1.289,-1.264,-1.1909999999999998,-1.2494999999999998,-1.4769999999999999,-1.3755000000000002,-1.357,-1.377,-1.348,-1.2610000000000001,-1.401,-1.2505,-1.205,-1.3045,-1.3344999999999998,-1.3115,-1.475,-1.206,-1.2595,-1.4929999999999999,-1.3264999999999998,-1.3735,-1.249,-1.0665,-1.5059999999999998,-1.2945000000000002,-1.1644999999999999,-1.5499999999999998
Tmem56,1.5465,2.765,1.6749999999999998,2.1125,1.2615,1.9585,1.7574999999999998,1.6595,2.046,1.9245,1.6280000000000001,1.2725,1.7169999999999999,1.554,1.5034999999999998,2.1685,1.966,1.8655,1.931,1.5505,2.4444999999999997,1.4565000000000001,1.342,1.3415,1.226,0.8074999999999999,2.4210000000000003,1.3425,1.9929999999999999,1.3775,1.2294999999999998,2.0015,2.416,1.2345000000000002,1.837,2.432,1.5739999999999998,2.306,1.3995,1.6895
Tnfrsf23,0.47950000000000004,0.593,0.55,0.6539999999999999,0.8635,0.524,0.486,0.45599999999999996,0.63,0.7925,0.5905,0.548,4.03,0.5615,0.8055,0.746,0.38649999999999995,0.6805,0.575,0.4155,0.4075,0.46399999999999997,0.4445,0.497,0.5045000000000001,0.43999999999999995,0.852,0.4495,0.665,0.716,0.47750000000000004,0.7075,0.6455,0.7005,0.5515,0.531,0.7035,0.48850000000000005,0.515,0.403
Tpmt,0.9470000000000001,3.03,2.9395,2.751,0.673,0.7545,2.911,1.2415,2.4335,2.4535,0.7989999999999999,0.98,2.527,0.7695000000000001,2.888,2.9945000000000004,2.2175000000000002,2.8280000000000003,1.834,0.7185,2.8105,1.091,0.9655,0.729,2.4955,2.5155000000000003,2.7039999999999997,2.777,0.8534999999999999,0.847,2.963,3.0465,3.0389999999999997,3.315,2.892,0.8314999999999999,3.0755,0.8185,2.7345,0.9065
Trib3,1.5305,2.859,1.4649999999999999,1.294,0.9295,1.5715,2.0715,0.677,0.40199999999999997,1.9145,0.671,1.12,0.622,1.6400000000000001,1.1869999999999998,1.384,0.811,2.152,0.616,1.5375,0.9624999999999999,1.6704999999999999,1.5965,1.08,2.7344999999999997,1.0735000000000001,1.7109999999999999,2.248,1.3379999999999999,1.746,1.085,1.491,1.254,1.4705,1.113,0.5455000000000001,2.0885,1.373,0.9944999999999999,2.005
Trpc5,-0.3435,-0.277,-0.302,-0.286,-0.6194999999999999,-0.06950000000000003,-0.7395,-0.6755,-0.6125,-0.6205,-0.6335,-0.4215,-0.185,-0.49,-0.7435,-0.5375000000000001,-0.6459999999999999,-0.854,-0.585,-0.486,-0.636,-0.2865,-0.5525,-0.644,-0.7,-0.698,-0.5900000000000001,4.1075,-0.5845,-0.49750000000000005,-0.4785,-0.47750000000000004,-0.5795,-0.509,-0.526,-0.565,-0.5840000000000001,-0.462,-0.327,-0.665
Tymp,1.9545,2.793,1.8195000000000001,2.4379999999999997,1.3159999999999998,2.2225,2.081,2.223,2.0,2.269,2.3594999999999997,1.8435000000000001,1.1135,2.34,2.002,2.1334999999999997,0.929,0.003500000000000003,1.0,1.0635,1.884,2.3595,1.8559999999999999,2.5084999999999997,2.1485000000000003,1.9820000000000002,1.701,2.3265,1.7555,2.0084999999999997,1.966,2.064,2.269,1.2255,2.1350000000000002,2.5745,1.512,2.1635,1.557,1.2585
Upp2,1.7865000000000002,1.923,2.5465,1.805,1.8575,1.6165,2.1795,1.436,1.2985,1.7485,0.996,1.7930000000000001,2.3745,1.9285,2.6965000000000003,1.686,2.123,2.667,2.326,2.0535,1.326,2.213,2.1635,1.822,3.025,1.8584999999999998,1.818,2.9269999999999996,2.092,2.733,2.493,2.7155,2.0484999999999998,2.9755000000000003,1.94,1.499,2.6245000000000003,1.6135,2.741,2.7515
V1rd1,1.3054999999999999,0.404,0.886,0.6779999999999999,1.7855,0.8485,2.112,2.654,1.8025,0.9079999999999999,1.4274999999999998,1.409,0.7055,1.081,0.998,1.2865,2.1105,1.246,1.407,1.2885,1.4805,1.4435,1.0354999999999999,0.79,1.4465,1.779,1.637,1.068,2.546,1.0755000000000001,1.299,1.202,2.2005,2.4234999999999998,1.138,1.294,2.3280000000000003,2.395,0.9684999999999999,2.114
Wdr5b,-0.9215,-0.666,-1.013,-0.673,-0.895,-0.63,-0.8035,-0.8885,-0.79,-1.003,-1.0875,-0.6725,-0.62,-0.6575,-0.5655,-1.017,-0.9904999999999999,-1.1989999999999998,-1.0010000000000001,-0.7374999999999999,-0.863,-0.6755,-1.016,-0.5675,-0.46799999999999997,-0.5305,-0.7084999999999999,-1.242,-1.018,-0.96,-0.651,-1.3050000000000002,-1.1135000000000002,-1.006,-0.3195,-0.5935,-1.2225000000000001,-0.6615,-0.9950000000000001,-1.1265
Wdr86,2.1345,0.324,1.223,-0.467,-0.515,-0.3245,2.865,1.08,0.42,-0.544,-0.5505,-0.7605,1.662,-0.47100000000000003,1.336,2.7705,-0.04100000000000001,-0.6659999999999999,1.2575,2.1215,-0.668,2.0495,1.6635,-0.529,-0.4555,-0.4315,-0.721,2.0075,1.119,-0.362,1.532,-0.5555,2.314,-0.637,1.295,-0.558,-0.3355,2.4505,-0.694,1.9460000000000002
Xist,3.0985,0.598,3.4925,3.369,3.7935,3.186,3.7085,4.735,4.1215,4.5965,4.046,-0.058499999999999996,2.7365,3.7475,3.2895000000000003,3.174,6.987500000000001,3.9865000000000004,3.1565000000000003,3.3535,0.11250000000000002,3.4074999999999998,3.5365,3.5115,3.6465,3.787,3.848,3.481,4.176,3.5545,4.0095,4.397,4.976,4.9845,3.5340000000000003,4.8255,3.7115,4.2915,3.6239999999999997,5.4925
Zap70,1.4955,1.698,1.532,2.1399999999999997,1.605,1.8855,2.582,0.7925,1.38,1.9565000000000001,1.577,2.1255,1.601,1.778,1.7995,2.3315,2.0475,2.1525,1.5555,1.4220000000000002,1.4685,2.0535,1.2894999999999999,1.748,2.07,1.55,1.5605,2.149,2.0655,2.1215,1.5745,2.057,2.159,2.1085000000000003,1.9445000000000001,1.113,1.871,1.763,2.4234999999999998,2.0395000000000003
Zbed3,0.08349999999999999,-0.077,0.0955,2.501,0.10200000000000001,-0.0925,-0.0955,0.011,-0.0495,0.03,-0.026000000000000002,-0.1285,0.087,0.224,0.019500000000000003,0.0595,0.060000000000000005,-0.13749999999999998,-0.26349999999999996,-0.024999999999999998,0.0925,0.181,0.241,-0.025999999999999995,-0.17099999999999999,0.042499999999999996,-0.10999999999999999,0.127,-0.1005,-0.21500000000000002,0.254,-0.014999999999999986,0.02700000000000001,-0.027499999999999997,0.018,-0.064,-0.15500000000000003,-0.13,-0.1765,-0.019
Zfp647,-0.636,-0.134,-0.411,-0.4375,-0.776,-0.335,-0.8440000000000001,-0.7835000000000001,3.7399999999999998,-0.808,-0.7105,-0.6815,-0.5575,-0.6085,-0.41800000000000004,-0.455,-0.6735,-0.569,-0.7130000000000001,-0.5765,-0.6455,-0.5994999999999999,-0.5125,-0.609,-0.3195,-0.7705,-0.673,-0.5605,-0.7795000000000001,-0.4555,-0.4805,-0.478,-0.503,-0.5155000000000001,-0.646,-0.40349999999999997,-0.705,-0.5625,-0.677,-0.632
