Gene Symbol,BXD1,BXD100,BXD101,BXD102,BXD103,BXD11,BXD12,BXD14,BXD24,BXD27,BXD29,BXD31,BXD32,BXD34,BXD39,BXD40,BXD42,BXD43,BXD44,BXD45,BXD48,BXD49,BXD50,BXD56,BXD60,BXD62,BXD63,BXD65,BXD68,BXD69,BXD70,BXD71,BXD73,BXD75,BXD79,BXD80,BXD83,BXD84,BXD85,BXD87,BXD89,BXD90,BXD95,BXD97,BXD99
Tmem203,10.2585,10.004000000000001,10.0875,10.213,9.5525,9.697,10.283,10.365,10.265,9.644,9.692499999999999,10.2745,10.159500000000001,9.54,9.597,10.268,10.519,9.488,10.2405,9.675,9.626000000000001,9.62,10.093,9.5885,10.196000000000002,9.706,9.7,10.295,9.4795,9.6795,10.269,9.585,9.665,10.139,9.541,9.619,10.073,9.55,9.6205,9.775,9.6145,10.1015,9.704,10.229,9.719000000000001
Tmem254b,10.719,10.313500000000001,10.844999999999999,10.23,10.7745,10.316500000000001,10.591,10.281,10.56,11.159,10.288,10.315,10.5815,10.46,10.178,9.4205,10.644,10.362,10.4835,10.6645,10.187000000000001,9.907,10.769,10.705,10.704,10.6555,10.661,9.643,10.8045,10.9355,10.6735,11.373999999999999,11.0045,10.618500000000001,10.472,10.725000000000001,10.1065,10.621,10.3955,10.940999999999999,10.8055,10.4785,10.906500000000001,9.4195,10.8155
Tmem260,10.2985,9.587,10.1945,10.176,9.5545,9.4485,9.631,9.585,10.287,10.3095,9.791,9.5975,9.5425,9.623000000000001,9.477,9.5365,9.711,10.464,9.597999999999999,9.6305,9.515,9.414,9.475,10.248000000000001,9.5625,9.470500000000001,10.255,9.4755,10.336,10.4245,9.6435,9.540500000000002,9.5275,9.4805,9.719,9.599499999999999,10.089,10.032,10.345500000000001,9.531500000000001,9.5785,9.5725,9.5545,9.441,9.3905
Ubl5,9.938,10.081,10.785499999999999,10.947,10.842500000000001,10.9385,10.513,10.714,10.327,10.906,10.4375,10.611,10.3025,10.435500000000001,10.332,10.199,11.238,10.483,11.121500000000001,11.109,10.592500000000001,11.2,10.699,10.613,10.504,10.4185,10.898,10.8645,10.624,10.777000000000001,11.1035,11.281500000000001,10.614,10.55,10.724,10.376000000000001,10.277999999999999,10.686,10.8505,11.0825,10.8,10.0055,11.229,10.776499999999999,11.2075
Ublcp1,7.494,9.9665,9.8955,10.037,7.643,9.998000000000001,7.304,6.925,9.871,7.32,7.519,7.8235,7.665,7.6265,9.669,9.539,7.015,10.318,10.1715,9.8595,7.709,7.607,9.8795,7.4735,7.7785,10.218,9.838,10.126999999999999,7.4655000000000005,10.143,9.690999999999999,9.7835,8.2745,7.172000000000001,7.209,7.7475000000000005,9.706,10.135,7.468,7.806,10.058,7.390499999999999,10.0775,9.935500000000001,9.997
Wdr83os,10.32,10.042000000000002,11.0105,10.513,10.967500000000001,10.5585,10.812,11.037,10.354,10.951,10.846499999999999,10.4855,10.2295,10.2285,10.714,10.739,10.767,10.214,10.6475,11.21,10.720500000000001,11.421,10.4065,10.9495,10.781500000000001,10.6385,10.489,11.0085,10.351500000000001,10.530999999999999,10.793,11.155999999999999,10.408,10.26,10.946,10.794,10.374,10.574,10.5445,10.617999999999999,10.518,10.681000000000001,10.618500000000001,10.995000000000001,11.173
Wsb1,10.6675,10.927,10.4805,9.263,9.8975,10.3335,10.283,10.255,10.353,10.346,10.484,10.3065,10.4965,10.5105,10.686,10.0015,10.123,9.519,9.991,10.030999999999999,10.464500000000001,9.81,10.0335,10.359,9.6685,10.0775,10.325,10.182500000000001,10.483,9.271,10.381,10.341999999999999,9.825,10.128,10.276,9.650500000000001,10.522,9.806,10.2705,10.127500000000001,10.1585,10.5465,10.371,10.379000000000001,10.487
Xist,9.368,9.120000000000001,9.6265,7.224,9.2145,9.143,6.52,11.898,11.779,9.468,9.154,9.137,9.201,9.198,6.591,9.768,11.738,6.487,8.8955,9.1845,9.181000000000001,6.642,9.2,9.2515,9.1985,9.0475,12.016,9.187000000000001,9.363,9.042,9.292,9.371,9.253,9.1005,12.116,9.013,9.26,6.454,9.09,9.089500000000001,9.278,9.463000000000001,9.3225,9.5965,9.2255
Zbtb16,9.6115,9.397,9.7695,10.749,10.175,9.508,9.816,9.681,9.494,9.7315,9.503499999999999,9.828,9.5615,9.616,10.048,9.29,9.593,10.197,10.1525,9.747,9.549,10.409,9.416,9.806000000000001,9.8585,9.5555,9.46,9.529,10.3755,9.939499999999999,9.7985,9.6305,9.599,9.3545,9.576,9.6695,9.6095,9.175,9.9545,9.7065,9.693,9.7655,9.7865,9.838000000000001,9.534500000000001
mt-Te,11.273,11.146999999999998,10.551,10.77,10.5235,10.8315,10.967,10.514,10.012,11.221,11.3785,11.07,10.239,10.807500000000001,10.625,9.806999999999999,10.729,10.528,10.553999999999998,10.7195,11.107,10.408,11.436499999999999,10.887,10.774999999999999,10.4895,11.497,10.67,10.940000000000001,10.307500000000001,10.765,10.5415,10.2405,10.533999999999999,10.52,10.332,11.0435,10.621,10.7165,10.407,10.545,10.2455,10.6235,10.949,11.081
mt-Th,8.993,9.7765,9.6615,9.902,9.9385,9.3645,9.689,8.471,9.267,9.731,9.471,9.3025,9.514,9.866499999999998,8.855,9.1615,10.484,9.868,9.685500000000001,9.599499999999999,9.548,8.797,9.506,9.411000000000001,9.6735,9.6415,9.441,9.549,9.06,9.404499999999999,9.326,9.5945,9.641,9.411999999999999,8.783,9.5265,9.297,9.662,9.68,9.4525,9.3895,9.329,9.204999999999998,9.244,9.5485
mt-Tk,9.711,10.597999999999999,10.4515,10.59,10.8245,10.1715,10.563,9.194,10.032,10.6725,10.557500000000001,10.374500000000001,10.3025,10.5735,10.372,10.1255,10.522,10.414,10.396,10.447,10.557,9.257,10.648,10.447,10.5735,10.393,10.311,10.4865,9.928,10.209,10.3735,10.4345,10.4755,10.406500000000001,9.914,10.408999999999999,10.2205,10.335,10.602,10.3755,10.441,10.348500000000001,10.225000000000001,10.219999999999999,10.386
mt-Tm,11.597,11.508,11.530000000000001,11.784,11.721,11.3215,11.587,10.753,11.451,11.8375,11.719000000000001,11.477,11.375499999999999,11.753499999999999,11.072,11.17,11.445,10.913,11.5435,11.7385,11.8195,10.671,11.632,11.4015,11.5775,11.3415,11.563,11.531500000000001,11.289000000000001,11.211500000000001,11.3415,11.011,11.56,11.3805,10.659,11.4665,11.416,12.223,11.786999999999999,11.4865,11.3265,11.2475,11.137,11.2775,11.253499999999999
mt-Tr,9.9665,10.226500000000001,9.849,9.934,9.8925,9.624500000000001,9.879,9.335,9.425,10.314499999999999,10.201,10.2475,9.98,10.279,9.346,8.831,9.847,10.324,10.205,10.0345,9.902999999999999,9.37,10.3045,9.893,10.201,9.98,9.889,9.8475,9.616499999999998,9.5515,9.5695,9.7675,9.9055,9.506499999999999,9.193,9.713000000000001,9.894,9.883,10.1795,9.7965,9.9565,9.762,9.7045,9.379,9.827
n-R5s25,9.351500000000001,9.621500000000001,8.925,10.007,9.5025,9.072,9.358,9.051,9.766,9.2785,9.0715,9.623999999999999,9.090499999999999,9.1065,9.148,9.2795,8.76,9.249,9.552,9.507,8.841999999999999,9.708,9.847999999999999,8.887,9.389,9.180499999999999,8.621,9.278,8.922,9.4715,9.063500000000001,9.049,9.8525,9.819500000000001,8.798,9.329,9.511500000000002,9.569,9.100000000000001,9.224,9.206499999999998,9.478,8.8615,9.016,9.252500000000001
